key,name,ticker,date,error_code,return_3days,return_30days,return_60days,return_90days
56848,"Liberty Global, Inc. (NASDAQ:LBTYA)",NASDAQ:LBTYA,2013-02-14 09:00:00,,-0.033820314614132409,0.075863370162570637,0.10587666357208028,0.0037390954094121236
56849,"Generac Holdings, Inc. (NYSE:GNRC)",NYSE:GNRC,2013-02-14 09:00:00,,-0.067758360580700866,-0.15017784573454221,-0.19244817403172149,-0.087340621679802222
56850,"US Ecology, Inc. (NASDAQ:ECOL)",NASDAQ:ECOL,2013-02-14 10:00:00,,-0.0042715214938519154,0.05459679961975307,0.08406306404516839,0.09233560111401927
56851,Hardinge (NASDAQ:HDNG),NASDAQ:HDNG,2013-02-14 11:00:00,,0.11326917930764872,0.13602128283825074,0.14837063560554747,0.16229935038141116
56852,Syntel (NASDAQ:SYNT),NASDAQ:SYNT,2013-02-14 10:00:00,,0.036458583988771179,0.13140168798321505,0.04970781988298005,0.051939024611995475
56853,Corrections Corporation of America (NYSE:CXW),NYSE:CXW,2013-02-14 11:00:00,,0.018044467746256961,0.032455164954152599,0.21318753430186366,0.055108054021597561
56854,BorgWarner Inc. (NYSE:BWA),NYSE:BWA,2013-02-14 09:30:00,,0.01358794460864061,-0.0085505609110516079,0.0063187902485950381,0.053776680456181447
56855,NorthStar Realty Finance Corp (NYSE:NRF),NYSE:NRF,2013-02-14 10:00:00,,0.062885774350326412,0.16327307029159022,0.16688564391879288,0.046511402937631639
56856,Pioneer Natural Resources (NYSE:PXD),NYSE:PXD,2013-02-14 10:00:00,,0.035368878143661311,-0.06362130125392701,-0.015269716313956114,0.093109551408123534
56857,ABB (NYSE:ABB),NYSE:ABB,2013-02-14 09:00:00,,0.049302110465369114,-0.01691789097420239,-0.066138446414300334,-0.069956458552098227
56858,Dr. Reddy's Laboratories (NYSE:RDY),NYSE:RDY,2013-02-14 08:00:00,,-0.058778483142497416,-0.12120081793171106,-0.032143651190788478,-0.066356039812644832
56859,"Sun Life Financial, Inc. (NYSE:SLF)",NYSE:SLF,2013-02-14 10:00:00,,-0.04196465643995563,-0.10252406860377027,-0.062421462189819532,-0.014696365722282601
56860,"BGC Partners, Inc. (NASDAQ:BGCP)",NASDAQ:BGCP,2013-02-14 10:00:00,,0.032159475824952599,0.015236095781257265,0.43756903832148181,0.42521252766479811
56861,Cabela's Incorporated (NYSE:CAB),NYSE:CAB,2013-02-14 11:00:00,,-0.026959503576714908,0.15928301327800454,0.2278673958422277,0.25575252481148952
56862,Euroseas Ltd. (NASDAQ:ESEA),NASDAQ:ESEA,2013-02-14 10:00:00,,-0.016342693984726146,0.13744222658643657,0.12557468007884212,0.020005081635299297
56863,Ultralife Corporation (NASDAQ:ULBI),NASDAQ:ULBI,2013-02-14 10:00:00,,0.19429708994181596,0.42712772470260901,0.4064496277634469,0.19440232233786975
56864,Avis Budget Group (NASDAQ:CAR),NASDAQ:CAR,2013-02-14 08:30:00,,0.050435085810680777,0.1447892533105668,0.17387095308954156,0.19949774805660681
56865,Tata Motors Limited (NYSE:TTM),NYSE:TTM,2013-02-14 07:15:00,,-0.015516398652419494,-0.17924078680008773,-0.10639541865569997,-0.22315215596180571
56866,Strayer Education (NASDAQ:STRA),NASDAQ:STRA,2013-02-14 10:00:00,,-0.18160681328618983,-0.23676753806296891,-0.24828792191780741,-0.20472905566117566
56867,"Monotype Imaging Holdings, Inc (NASDAQ:TYPE)",NASDAQ:TYPE,2013-02-14 08:30:00,,0.10194478285977711,0.16230855929754551,0.012345143192555835,0.18733021795994848
56868,Jarden Corporation (NYSE:JAH),NYSE:JAH,2012-02-14 08:45:00,,0.01086114107072967,0.14582309639652818,0.18496562473246617,0.2102688110673353
56869,Harsco (NYSE:HSC),NYSE:HSC,2013-02-14 10:00:00,,-0.040620100444585083,-0.072551426346922437,-0.1833958630200877,-0.16375484754159261
56870,"Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN)",NASDAQ:REGN,2013-02-14 08:30:00,,-0.067237133145309422,-0.006316246832753801,0.44650831910133748,0.2310268368398834
56871,Discovery Communications (NASDAQ:DISCA),NASDAQ:DISCA,2013-02-14 08:30:00,,-0.01631689486260884,0.083489519215811686,0.047968830938689623,0.018434357641221897
56872,"Photronics, Inc. (NASDAQ:PLAB)",NASDAQ:PLAB,2013-02-14 08:30:00,,0.017668490080384382,-0.019587153143598504,0.074392663919256696,0.090072625385664809
56873,Agnico-Eagle Mines (NYSE:AEM),NYSE:AEM,2013-02-14 11:00:00,,-0.080666987292745185,-0.085863788073305983,-0.33227643657196049,-0.42193104145053723
56874,PPL (NYSE:PPL),NYSE:PPL,2013-02-14 09:00:00,,-0.0036078155993792753,0.023546073146056702,0.021213195402019117,-0.063413430967501516
56875,"Allied World Assurance Company Holdings, Ltd. (NYSE:AWH)",NYSE:AWH,2013-02-14 09:00:00,,-0.00084305536275270081,0.04064183207923517,-0.0021700768519088628,0.016218518244825633
56876,"AmTrust Financial Services, Inc. (NASDAQ:AFSI)",NASDAQ:AFSI,2013-02-14 09:00:00,,-0.025496762125404852,-0.034492990001341414,-0.14399477616029538,-0.020521592526028122
56877,"Demandware, Inc. (NYSE:DWRE)",NYSE:DWRE,2013-02-14 08:30:00,,0.050189660969549459,-0.044374895802938595,0.17166588243825884,0.3686820455417274
56878,Manning & Napier (NYSE:MN),NYSE:MN,2013-02-14 08:00:00,,-0.0057471971248976806,0.045492748530635022,0.19158474586838858,0.20224512616714713
56879,ArthroCare Corporation (NASDAQ:ARTC),NASDAQ:ARTC,2013-02-14 08:30:00,BETA_ERROR
56880,Navigant Consulting (NYSE:NCI),NYSE:NCI,2013-02-14 10:00:00,,0.11199317308789178,0.11022641122674476,0.016990962790998557,0.11116908537497955
56881,RenaissanceRe Holdings Ltd. (NYSE:RNR),NYSE:RNR,2013-02-14 11:45:00,,-0.00047112175822467631,0.071338599248713414,0.028838396788276613,-0.025643021409374106
56882,Molson Coors Brewing (NYSE:TAP),NYSE:TAP,2013-02-14 11:00:00,,0.0013840075110391498,0.061031041835082483,0.022458274876536358,0.021203409747228855
56883,"C&J Energy Services, Inc. (NYSE:CJES)",NYSE:CJES,2013-02-14 10:00:00,,0.033815042273337641,-0.051575012769641798,-0.24328349948885214,-0.24441166869987982
56884,"Tianyin Pharmaceutical Co., Inc. (NYSEMKT:TPI)",NYSEMKT:TPI,2013-02-14 08:30:00,,0.011173811539030007,-0.079585248783930695,-0.17465148994963234,-0.28932034294381842
56885,"Taubman Centers, Inc. (NYSE:TCO)",NYSE:TCO,2013-02-14 11:00:00,BETA_ERROR
56886,Barrick Gold Corporation (NYSE:ABX),NYSE:ABX,2013-02-14 08:30:00,,-0.011810864776231861,-0.1062845447671206,-0.42746743607881399,-0.52527861384987629
56887,Argo Group International Holdings Ltd (NASDAQ:AGII),NASDAQ:AGII,2013-02-13 16:05:00,,-0.0043788030174357513,0.029668640815624252,0.10313572956473512,0.11775538380970282
56888,Itron (NASDAQ:ITRI),NASDAQ:ITRI,2013-02-13 17:00:00,,-0.091882786727509103,-0.064521452457086223,-0.21575281629828399,-0.15735301595226234
56889,Universal Display Corporation (NASDAQ:PANL),NASDAQ:PANL,2013-02-13 19:00:00,BETA_ERROR
56890,Weight Watchers International (NYSE:WTW),NYSE:WTW,2013-02-13 17:00:00,,-0.17171772319560671,-0.24013648680710958,-0.26926300477972065,-0.23926775003707476
56891,Oculus Innovative Sciences (NASDAQ:OCLS),NASDAQ:OCLS,2013-02-13 16:30:00,,-0.00026800636390960503,-0.464232375748103,-0.25479631408154313,-0.50233417566500105
56892,"Susquehanna Bancshares, Inc. (NASDAQ:SUSQ)",NASDAQ:SUSQ,2013-02-13 13:45:00,BETA_ERROR
56893,Gold Fields (NYSE:GFI),NYSE:GFI,2013-02-14 03:00:00,,-0.085880546521532097,-0.25304028546556356,-0.37557026365344653,-0.49318057228133405
56894,Morgan Stanley (NYSE:MS),NYSE:MS,2013-02-14 09:00:00,,0.0084948176640119652,-0.166825461238891,-0.21864229811748667,-0.068082370802662689
56895,"Artio Global Investors, Inc. (NYSE:ART)",NYSE:ART,2013-02-14 08:00:00,BETA_ERROR
56896,"PepsiCo, Inc. (NYSE:PEP)",NYSE:PEP,2013-02-14 08:00:00,,0.053120668860745228,0.10184398607768554,0.1399798634964628,0.10200716021884998
56897,"Waste Management, Inc. (NYSE:WM)",NYSE:WM,2013-02-14 10:00:00,,-0.0023220012572701741,0.073182893705183716,0.12210573304347407,0.089015634641588126
56898,"EOG Resources, Inc. (NYSE:EOG)",NYSE:EOG,2013-02-14 09:00:00,,-0.028569901549911392,-0.097741862270393387,-0.10278361535513178,-0.096425220616742871
56899,General Motors Company (NYSE:GM),NYSE:GM,2013-02-14 10:00:00,,-0.041302530452735388,-0.060807032162131805,0.03613364106080981,0.092408523499015016
56900,Progressive Waste Solutions (NYSE:BIN),NYSE:BIN,2013-02-14 08:30:00,,-0.055511380270383999,-0.039872482053518524,0.08241904360464182,-0.043740104017059037
56901,Corcept Therapeutics Inc. (NASDAQ:CORT),NASDAQ:CORT,2013-02-14 05:00:00,,-0.014035075727108564,0.053236587265748557,-0.15195227325650384,-0.13160521819499429
56902,Orbitz Worldwide (NYSE:OWW),NYSE:OWW,2013-02-14 10:00:00,BETA_ERROR
56903,MetLife (NYSE:MET),NYSE:MET,2013-02-14 08:00:00,,-0.025946868436121141,-0.044896600837792976,-0.038360535615842517,0.12968755603128174
56904,"Enbridge Energy Partners, LP (NYSE:EEP)",NYSE:EEP,2013-02-14 10:00:00,,-0.046400333849685373,0.019177030928759491,0.029653170650864171,0.012590547826641697
56905,Incyte Corporation (NASDAQ:INCY),NASDAQ:INCY,2013-02-14 08:30:00,,0.16856032924599673,0.23925527705100558,0.16483476478470088,0.025045547782513018
56906,Aspen Insurance Holdings Limited (NYSE:AHL),NYSE:AHL,2013-02-13 16:40:00,,-0.0066383002861979982,0.048866691354525538,0.024656051755134314,-0.025672790191677369
56907,Arrowhead Research Corporation (NASDAQ:ARWR),NASDAQ:ARWR,2013-02-13 16:30:00,,-0.02176889312665567,0.24032557308108476,0.21948298313223147,0.18351656219878509
56908,Stamps.com Inc. (NASDAQ:STMP),NASDAQ:STMP,2013-02-13 16:30:00,,-0.13309052878967137,-0.12110001725651184,0.22180011100893066,0.32254681183021283
56909,Nvidia Corporation (NASDAQ:NVDA),NASDAQ:NVDA,2013-02-13 17:00:00,,0.023877498357068778,-0.020545338315963002,0.0088964971269151621,0.094947749836623449
56910,NetApp (NASDAQ:NTAP),NASDAQ:NTAP,2013-02-13 17:30:00,,0.031957248490292432,-0.076961096912313537,-0.063206596984859545,0.02851637880052002
56911,RPX Corporation (NASDAQ:RPXC),NASDAQ:RPXC,2013-02-13 17:00:00,,0.21018889941601138,0.27533743421346207,0.20110327430608291,0.35294412137337544
56912,Rovi Corporation (NASDAQ:ROVI),NASDAQ:ROVI,2013-02-13 17:00:00,,0.0561084065294217,0.22356012258642816,0.29650192367943839,0.38944545851977713
56913,"FleetCor Technologies, Inc. (NYSE:FLT)",NYSE:FLT,2013-02-13 18:20:00,,0.036712609423019349,0.12055925240325559,0.17319312870067591,0.25631366317648119
56914,"InnerWorkings, Inc (NASDAQ:INWK)",NASDAQ:INWK,2013-02-13 17:30:00,,0.010704117502121481,0.028841333936627724,-0.37870319202004105,-0.29581739383323802
56915,Diodes Incorporated (NASDAQ:DIOD),NASDAQ:DIOD,2013-02-13 17:00:00,,0.068127781755656577,0.0079229010881112158,0.0010401457454832091,0.12571433315912944
56916,"CenturyLink, Inc. (NYSE:CTL)",NYSE:CTL,2013-02-13 17:00:00,,-0.20952500695936671,-0.17227458588057099,-0.1614214458233344,-0.19403328817954862
56917,Coeur d'Alene Mines Corporation (NYSE:CDE),NYSE:CDE,2013-02-13 09:00:00,,-0.10411296214461574,-0.22382035229256167,-0.4306520319704375,-0.51148256983509022
56918,Dyax Corporation (NASDAQ:DYAX),NASDAQ:DYAX,2013-02-13 17:00:00,,0.05930468836109104,0.33179509225733489,-0.43916681239245675,-0.10147543031573797
56919,"Cloud Peak Energy, Inc. (NYSE:CLD)",NYSE:CLD,2013-02-13 17:00:00,,-0.022044877502702186,0.10320524139918066,0.094016146660768948,0.00068728087637237242
56920,"Portfolio Recovery Associates, Inc. (NASDAQ:PRAA)",NASDAQ:PRAA,2013-02-13 18:15:00,,0.054841965968438433,0.1268136588415936,0.25925544685812973,0.41886266190286886
56921,Ingram Micro (NYSE:IM),NYSE:IM,2013-02-13 17:00:00,,0.069417878570895764,0.033822546038395351,-0.09102330965554524,-0.046458667059029582
56922,"EnerNOC, Inc. (NASDAQ:ENOC)",NASDAQ:ENOC,2013-02-13 17:00:00,,0.13154688434394307,0.079735585487412219,-0.030472014137823744,-0.26275790549177785
56923,Mondelez International (NASDAQ:MDLZ),NASDAQ:MDLZ,2013-02-13 17:00:00,,-0.034929220792612868,0.069530404421977859,0.031627741147444516,-0.015865040221814578
56924,Encore Capital Group (NASDAQ:ECPG),NASDAQ:ECPG,2013-02-13 17:00:00,,0.039879144412817626,-0.049635770550453484,-0.056289775621682463,0.09545487589706024
56925,"Amkor Technology, Inc. (NASDAQ:AMKR)",NASDAQ:AMKR,2013-02-13 17:00:00,,0.0059246161137419644,-0.23857320697292389,-0.24282067537142041,-0.27842681805233283
56926,Skechers USA Inc. (NYSE:SKX),NYSE:SKX,2013-02-13 16:30:00,,0.11972665631944021,0.10961828672551249,0.11150633808744832,0.18965031804965055
56927,Equinix (NASDAQ:EQIX),NASDAQ:EQIX,2013-02-13 17:30:00,,0.046351837766276133,-0.052365570064988001,-0.075976473003689829,-0.25675790358565415
56928,Torchmark Corporation (NYSE:TMK),NYSE:TMK,2013-02-13 14:55:00,,0.0035281528988146769,0.042601310245288848,0.10538464582563831,0.11759826782593585
56929,International Rectifier Corporation (NYSE:IRF),NYSE:IRF,2013-02-13 12:30:00,BETA_ERROR
56930,Tucows Inc. (NASDAQ:TCX),NASDAQ:TCX,2013-02-13 17:00:00,,-0.1586176955921669,-0.16994176780334241,0.020819407443233899,-0.13252167908766102
56931,Ligand Pharmaceuticals Incorporated (NASDAQ:LGND),NASDAQ:LGND,2013-02-13 17:00:00,,0.066972468879404751,0.27816162873207101,0.2803949635508039,0.54760660874536471
56932,Cinedigm Digital Cinema (NASDAQ:CIDM),NASDAQ:CIDM,2013-02-13 16:30:00,,-0.044184109335781589,0.012480283848287956,0.025846668990246582,0.060831390865813906
56933,"j2 Global, Inc. (NASDAQ:JCOM)",NASDAQ:JCOM,2013-02-13 17:00:00,,0.1449357511909522,0.22041420502411296,0.27588424381733961,0.28358150453070508
56934,Netspend Holdings (NASDAQ:NTSP),NASDAQ:NTSP,2013-02-13 17:00:00,BETA_ERROR
56935,Tangoe (NASDAQ:TNGO),NASDAQ:TNGO,2013-02-13 17:00:00,,-0.015871948846829988,-0.27641626393974855,-0.3168642274094598,-0.18572531234904291
56936,"Smith Micro Software, Inc. (NASDAQ:SMSI)",NASDAQ:SMSI,2013-02-13 16:30:00,,-0.06126136246900124,-0.25513140761516828,-0.3679860876268739,-0.45370215253051444
56937,"CafePress, Inc. (NASDAQ:PRSS)",NASDAQ:PRSS,2013-02-13 17:00:00,,0.071976809665434183,-0.090694907332808383,-0.13225542491923653,-0.1017417824029134
56938,Highwoods Properties Inc. (NYSE:HIW),NYSE:HIW,2013-02-13 08:30:00,,-0.0083822420864792021,0.075735212874536148,0.11227240951599085,-0.061994079974693916
56939,"Calix, Inc. (NYSE:CALX)",NYSE:CALX,2013-02-13 12:40:00,,0.030749033256716247,-0.041854098182075784,0.014128506516403488,0.21110436903022706
56940,"American Campus Communities, Inc. (NYSE:ACC)",NYSE:ACC,2013-02-13 11:00:00,,-0.021304619583240075,-0.047539671849739215,-0.083401489853430627,-0.19731309632462896
56941,ACCO Brands (NYSE:ACCO),NYSE:ACCO,2013-02-13 08:30:00,,-0.040701931196593419,-0.19617403812457213,-0.22345782683501461,-0.25863738474958736
56942,CardioNet (NASDAQ:BEAT),NASDAQ:BEAT,2013-02-13 17:00:00,,0.056975702807758905,0.0046360504039996558,0.1598126990872657,1.4229174273537135
56943,"Applied Materials, Inc. (NASDAQ:AMAT)",NASDAQ:AMAT,2013-02-13 16:30:00,,0.012159122315594862,-0.056168936929287754,-0.021448949220440994,0.052836523125319251
56944,Talisman Energy (NYSE:TLM),NYSE:TLM,2013-02-13 13:00:00,BETA_ERROR
56945,"Douglas Emmett, Inc. (NYSE:DEI)",NYSE:DEI,2013-02-13 14:00:00,,-0.022302311673026442,0.032343187499138976,0.11552929624947941,0.014152599932195219
56946,"Innospec, Inc. (NASDAQ:IOSP)",NASDAQ:IOSP,2013-02-13 09:00:00,,0.0095838239448505814,0.05551743883859081,-0.057872617991677061,-0.037396801129223514
56947,"Cisco Systems, Inc. (NASDAQ:CSCO)",NASDAQ:CSCO,2013-02-13 16:30:00,,0.00072027642892219057,-0.032601582851277205,-0.071530263887021051,0.12108083619085121
56948,"Angie’s List, Inc. (NASDAQ:ANGI)",NASDAQ:ANGI,2013-02-13 17:00:00,,0.19050459518919327,0.41235207550666647,0.58600229490044087,0.87665184825084597
56949,Support.com (NASDAQ:SPRT),NASDAQ:SPRT,2013-02-13 16:30:00,,-0.058692746461110813,-0.086227209078267447,-0.19473852015055618,-0.06076941267463648
56950,Premiere Global Services (NYSE:PGI),NYSE:PGI,2013-02-13 17:00:00,,0.079756601756516776,0.15455349237313179,0.16214683560425591,0.24829873181650924
56951,Overland Storage (NASDAQ:OVRL),NASDAQ:OVRL,2013-02-13 17:00:00,BETA_ERROR
56952,Blucora (NASDAQ:BCOR),NASDAQ:BCOR,2013-02-13 17:00:00,,0.11117404162298671,0.012276581850861234,0.14217153730434789,0.19688563176683532
56953,"Perceptron, Inc. (NASDAQ:PRCP)",NASDAQ:PRCP,2013-02-13 10:00:00,,-0.12789800607509519,-0.10258376804327973,-0.19319911645100862,-0.12353408975424268
56954,"AVEO Pharmaceuticals, Inc. (NASDAQ:AVEO)",NASDAQ:AVEO,2013-02-13 10:00:00,,-0.12824325044930845,-0.048461855492178241,-0.75001268788414066,-0.74145637253429186
56955,Mine Safety Appliances Co (NYSE:MSA),NYSE:MSA,2013-02-13 10:00:00,,0.099287746174692368,0.072415752859039617,0.059105948429544045,-0.032160162522434158
56956,"Tanger Factory Outlet Centers, Inc. (NYSE:SKT)",NYSE:SKT,2013-02-13 10:00:00,,-0.03338534853344987,-0.020630701559413694,0.015497433573860651,-0.093262662839448382
56957,Dean Foods (NYSE:DF),NYSE:DF,2013-02-13 10:30:00,,-0.11171812093836916,-0.051559112445552023,-0.057419486635242101,0.16092344404134357
56958,America Movil SAB de CV (NASDAQ:AMOV),NASDAQ:AMOV,2013-02-13 10:00:00,,-0.0980834746722829,-0.1622158141142602,-0.16645888896935893,-0.2401642245093428
56959,"Pinnacle Entertainment, Inc. (NASDAQ:PNK)",NASDAQ:PNK,2013-02-13 10:00:00,BETA_ERROR
56960,Calpine Corporation (NYSE:CPN),NYSE:CPN,2013-02-13 10:00:00,,-0.052281841371853273,0.022211067903952095,0.02769927489465885,0.065713457215872212
56961,"WellCare Health Plans, Inc. (NYSE:WCG)",NYSE:WCG,2013-02-13 08:30:00,,0.11653352128463755,0.036678891703857137,-0.026722542186704293,-0.089759552299139622
56962,CAE (NYSE:CAE),NYSE:CAE,2013-02-13 13:00:00,,-0.026276496801214445,-0.10333586023567366,-0.036932973236714892,-0.087740956200189651
56963,Brookfield Residential Properties (NYSE:BRP),NYSE:BRP,2013-02-13 11:00:00,BETA_ERROR
56964,Altisource Portfolio Solutions (NASDAQ:ASPS),NASDAQ:ASPS,2013-02-13 11:00:00,,0.045921405419195753,-0.18106881303366534,0.030060617401499991,0.13561195839419354
56965,American Financial Group Inc. (NYSE:AFG),NYSE:AFG,2013-02-13 11:10:00,,0.0061987312153032907,0.066266219967940646,0.080559666294244395,0.073142410022573545
56966,Pioneer Energy Services Corporation (NYSE:PES),NYSE:PES,2013-02-13 11:00:00,,0.28774897775726005,0.069919135616229464,-0.08826724322322678,-0.14351427845047005
56967,Axiall (NYSE:AXLL),NYSE:AXLL,2013-02-13 10:00:00,,0.08123119458439107,0.094959797996360076,-0.15693585658695636,-0.21060128113905013
56968,Barclays PLC (NYSE:BCS),NYSE:BCS,2013-02-13 10:30:00,,-0.033822132225820839,-0.17485385187845914,-0.13990789056749176,-0.17880773531470673
