key,name,ticker,date,error_code,return_3days,return_30days,return_60days,return_90days
20900,Allergan (NYSE:AGN),NYSE:AGN,5/7/14 11:00,,-0.039887105,-0.055348221,-0.080585793,-0.038746739
20901,Air Transport Services Group (NASDAQ:ATSG),NASDAQ:ATSG,5/7/14 9:00,,0.184216479,0.049644322,-0.030961436,0.019691906
20902,Rockwood Holdings (NYSE:ROC),NYSE:ROC,5/7/14 12:00,BETA_ERROR,,,,
20903,"Spartan Motors, Inc. (NASDAQ:SPAR)",NASDAQ:SPAR,5/7/14 10:00,,0.022699818,0.012244867,-0.213266553,-0.019652548
20904,Horizon Technology Finance Corporation (NASDAQ:HRZN),NASDAQ:HRZN,5/7/14 9:00,,0.041419756,0.057488894,0.066170584,0.086288963
20905,DDR (NYSE:DDR),NYSE:DDR,5/7/14 10:00,,-0.003305914,-0.009007602,-0.007007005,-0.010988422
20906,Community Health Systems (NYSE:CYH),NYSE:CYH,5/7/14 11:00,,-0.064821099,0.070251483,0.212767514,0.340527898
20907,"Icahn Enterprises, L.P. (NASDAQ:IEP)",NASDAQ:IEP,5/7/14 10:00,,-0.04326747,-0.110660721,-0.065499953,-0.046688991
20908,DCP Midstream Partners LP (NYSE:DPM),NYSE:DPM,5/7/14 10:00,,0.00107356,0.027191641,0.006784636,0.019694682
20909,Golden Star Resources (NYSEMKT:GSS),NYSEMKT:GSS,5/7/14 10:00,,-0.082436047,-0.102160752,-0.119069948,-0.265758193
20910,American States Water (NYSE:AWR),NYSE:AWR,5/7/14 14:00,,-0.017432609,0.04359724,-0.00967571,0.023937272
20911,Devon Energy Corporation (NYSE:DVN),NYSE:DVN,5/7/14 11:00,,0.001294753,0.083233329,0.066772798,-0.03425104
20912,"North American Energy Partners, Inc. (NYSE:NOA)",NYSE:NOA,5/7/14 9:00,,-0.040425616,-0.003986557,-0.094310559,-0.218215447
20913,Cowen Group (NASDAQ:COWN),NASDAQ:COWN,5/7/14 9:00,,0.012451054,-0.02908472,-0.086597093,-0.132875584
20914,Athlon Energy Inc. (NYSE:ATHL),NYSE:ATHL,5/7/14 11:00,BETA_ERROR,,,,
20915,Duke Energy Corporation (NYSE:DUK),NYSE:DUK,5/7/14 10:00,,-0.018709678,-0.000399129,0.008134576,0.023646609
20916,Ares Commercial Real Estate Corporation (NYSE:ACRE),NYSE:ACRE,5/7/14 11:00,,0.019508959,0.010250787,-0.014794073,0.000758871
20917,"Calumet Specialty Products Partners, L.P. (NASDAQ:CLMT)",NASDAQ:CLMT,5/7/14 13:00,,0.058284108,0.061033823,0.088673646,-0.040622525
20918,Sparton Corporation (NYSE:SPA),NYSE:SPA,5/7/14 11:00,,0.004427574,0.072896296,-0.005829735,-0.085631773
20919,Memorial Production Partners LP (NASDAQ:MEMP),NASDAQ:MEMP,5/7/14 11:00,,-0.033833892,0.016265256,-0.004496558,0.004870786
20920,QR Energy LP (NYSE:QRE),NYSE:QRE,5/7/14 10:00,BETA_ERROR,,,,
20921,Hawaiian Electric Industries (NYSE:HE),NYSE:HE,5/7/14 13:00,,0.019613149,0.071780452,0.028709759,0.095896963
20922,W&T Offshore (NYSE:WTI),NYSE:WTI,5/7/14 9:30,,-0.1780344,-0.190612702,-0.294262786,-0.321779367
20923,Regency Energy Partners LP (NYSE:RGP),NYSE:RGP,5/7/14 11:00,BETA_ERROR,,,,
20924,Agrium (NYSE:AGU),NYSE:AGU,5/7/14 9:30,,-0.048457364,-0.061547839,-0.0766467,-0.094197454
20925,Cimarex Energy (NYSE:XEC),NYSE:XEC,5/7/14 13:00,,0.043169555,0.095978891,0.125332947,0.044088382
20926,WPX Energy (NYSE:WPX),NYSE:WPX,5/7/14 10:00,,-0.013841648,-0.001013882,-0.09190036,0.097296531
20927,LRAD Corporation (NASDAQ:LRAD),NASDAQ:LRAD,5/7/14 16:30,,0.036948526,0.032288173,-0.021924256,0.646056323
20928,Otelco Inc. (NASDAQ:OTEL),NASDAQ:OTEL,5/7/14 11:30,,-0.036584709,-0.007494611,-0.046991786,-0.062562559
20929,"Delcath Systems, Inc. (NASDAQ:DCTH)",NASDAQ:DCTH,5/7/14 16:30,,-0.034523616,0.021720555,-0.198829396,-0.049493593
20930,Rosetta Stone (NYSE:RST),NYSE:RST,5/7/14 16:30,,-0.10764104,-0.19432419,-0.204077538,-0.292237377
20931,"Vitamin Shoppe, Inc. (NYSE:VSI)",NYSE:VSI,5/7/14 8:30,,-0.042918341,-0.065170166,-0.126706562,-0.199941129
20932,"Spectrum Brand Holdings, Inc. (NYSE:SPB)",NYSE:SPB,5/7/14 9:00,,-0.039253024,0.040410613,0.08157628,0.099567872
20933,Caesars Entertainment (NASDAQ:CZR),NASDAQ:CZR,5/7/14 17:00,,0.045452309,-0.111167524,-0.227036964,-0.472699582
20934,"Codexis, Inc. (NASDAQ:CDXS)",NASDAQ:CDXS,5/7/14 16:30,,-0.030150022,-0.045863353,0.360918604,0.602443119
20935,Lake Shore Gold Corp (NYSEMKT:LSG),NYSEMKT:LSG,5/7/14 15:00,,-0.032129246,0.124872142,0.425160006,0.220532376
20936,Talisman Energy (NYSE:TLM),NYSE:TLM,5/7/14 15:00,BETA_ERROR,,,,
20937,El Paso Electric Company (NYSE:EE),NYSE:EE,5/7/14 10:30,,-0.003047387,0.032277671,-0.001658044,0.010267656
20938,Bankrate (NYSE:RATE),NYSE:RATE,5/7/14 16:30,,-0.116627319,-0.066854198,-0.064674082,-0.309027288
20939,Numerex Corp. (NASDAQ:NMRX),NASDAQ:NMRX,5/7/14 16:30,,0.141042976,0.064224026,-0.089872231,-0.043723959
20940,Blueknight Energy Partners L.P. (NASDAQ:BKEP),NASDAQ:BKEP,5/7/14 15:00,,-0.015801729,-0.019208606,-0.048260054,-0.072096747
20941,Alliance Healthcare Services Inc. (NASDAQ:AIQ),NASDAQ:AIQ,5/8/14 5:00,,0.049054363,-0.088470512,-0.023513843,-0.136919477
20942,Hydrogenics Corporation (NASDAQ:HYGS),NASDAQ:HYGS,5/7/14 13:00,,-0.153344395,-0.302298442,-0.114807245,-0.30220004
20943,Roundy's (NYSE:RNDY),NYSE:RNDY,5/7/14 16:30,,-0.263452483,-0.192306739,-0.283863247,-0.502945232
20944,"CenturyLink, Inc. (NYSE:CTL)",NYSE:CTL,5/7/14 17:00,,0.060029866,0.068283203,0.149129883,0.15692287
20945,"RealNetworks, Inc. (NASDAQ:RNWK)",NASDAQ:RNWK,5/7/14 17:00,,-0.008510108,0.009962051,0.016459717,-0.013603702
20946,"Hansen Medical, Inc. (NASDAQ:HNSN)",NASDAQ:HNSN,5/7/14 17:00,,-0.383237737,-0.342594399,-0.424401538,-0.422808264
20947,NVE (NASDAQ:NVEC),NASDAQ:NVEC,5/7/14 5:00,,-0.02135356,-0.020483157,0.199697532,0.243502441
20948,"USA Compression Partners, LP (NYSE:USAC)",NYSE:USAC,5/7/14 11:00,,0.008395914,-0.088384786,-0.056943583,-0.076792003
20949,Millennial Media (NYSE:MM),NYSE:MM,5/7/14 17:00,BETA_ERROR,,,,
20950,"Sucampo Pharmaceuticals, Inc. (NASDAQ:SCMP)",NASDAQ:SCMP,5/7/14 17:00,,0.002139834,0.006913033,-0.189566573,-0.13133325
20951,Avista Corporation (NYSE:AVA),NYSE:AVA,5/7/14 10:30,,0.010711194,-0.002521848,-0.015992386,0.006164592
20952,"NanoString Technologies, Inc. (NASDAQ:NSTG)",NASDAQ:NSTG,5/7/14 16:30,,-0.202021844,-0.22635771,-0.440550957,-0.455847009
20953,Solera Holdings Inc. (NYSE:SLH),NYSE:SLH,5/7/14 17:00,,-0.001720251,-0.085401643,-0.093394446,-0.196745833
20954,"Voya Financial, Inc. (NYSE:VOYA)",NYSE:VOYA,5/7/14 10:00,,-0.000697177,-0.016793646,0.00829545,0.044808128
20955,Lannett (NYSE:LCI),NYSE:LCI,5/7/14 16:30,,-0.014653422,0.133916111,-0.196641714,-0.183701054
20956,"OraSure Technologies, Inc. (NASDAQ:OSUR)",NASDAQ:OSUR,5/7/14 17:00,,-0.081965669,0.177594186,0.102577899,-0.014938454
20957,Marathon Oil Corporation (NYSE:MRO),NYSE:MRO,5/7/14 9:00,,-0.007976353,0.047778033,0.06280457,0.069084379
